Metabolomic Feature,Putative Chemical Class
C8-pos_Cluster_0265,Organonitrogen compounds
C8-pos_Cluster_0280,Long-chain fatty acids
C8-pos_Cluster_0350,#N/A
C8-pos_Cluster_0384,Very long-chain fatty acids
C8-pos_Cluster_0577,Stigmastanes and derivatives
C8-pos_Cluster_0585,Cholesterols and derivatives
C8-pos_Cluster_0604,Naphthofurans
C8-pos_Cluster_0652,Tannins
C8-pos_Cluster_0848,#N/A
C8-pos_Cluster_0866,Triterpenoids
C8-pos_Cluster_1162,Sphingolipids
C8-pos_Cluster_1365,Trichothecenes
C8-pos_Cluster_1516,#N/A
C8-pos_Cluster_1543,"1,3-diacylglycerols"
C8-pos_Cluster_1737,Sphingolipids
C8-pos_Cluster_1812,#N/A
C8-pos_Cluster_1842,#N/A
C8-pos_Cluster_1883,#N/A
C8-pos_Cluster_1947,Sphingolipids
C8-pos_Cluster_1953,Sphingolipids
C8-pos_Cluster_2011,Sphingolipids
HILIC-neg_Cluster_0011,Carboxylic acid derivatives
HILIC-neg_Cluster_0057,Keto acids and derivatives
HILIC-neg_Cluster_0111,Keto acids and derivatives
HILIC-neg_Cluster_0275,N-acyl-L-alpha-amino acids
HILIC-neg_Cluster_0349,Pyrans
HILIC-neg_Cluster_0356,Keto acids and derivatives
HILIC-neg_Cluster_0404,Toluenes
HILIC-neg_Cluster_0607,Lactones
HILIC-neg_Cluster_0695,Furoic acid derivatives
HILIC-neg_Cluster_0774,#N/A
HILIC-neg_Cluster_0784,#N/A
HILIC-neg_Cluster_0837,#N/A
HILIC-neg_Cluster_0983,"Linear 1,3-diarylpropanoids"
HILIC-neg_Cluster_0985,Carboximidic acids and derivatives
HILIC-neg_Cluster_1022,#N/A
HILIC-neg_Cluster_1180,#N/A
HILIC-neg_Cluster_1232,Very long-chain fatty acids
HILIC-neg_Cluster_1242,Alkyl-phenylketones
HILIC-neg_Cluster_1245,Carboximidic acids and derivatives
HILIC-neg_Cluster_1285,#N/A
HILIC-neg_Cluster_1350,Stilbene glycosides
HILIC-neg_Cluster_1535,#N/A
HILIC-pos_Cluster_0140,#N/A
HILIC-pos_Cluster_0154,#N/A
HILIC-pos_Cluster_0286,Quinoline carboxylic acids
HILIC-pos_Cluster_0317,#N/A
HILIC-pos_Cluster_0366,Ketones
HILIC-pos_Cluster_0393,Indoles and derivatives
HILIC-pos_Cluster_0423,Diazines
HILIC-pos_Cluster_0492,Diazines
HILIC-pos_Cluster_0501,Diazines
HILIC-pos_Cluster_0589,#N/A
HILIC-pos_Cluster_0600,#N/A
HILIC-pos_Cluster_0628,#N/A
HILIC-pos_Cluster_0633,#N/A
HILIC-pos_Cluster_0641,Benzoic acid esters
HILIC-pos_Cluster_0698,#N/A
HILIC-pos_Cluster_0796,Ketones
HILIC-pos_Cluster_0904,Long-chain fatty acids
HILIC-pos_Cluster_0994,"Linear 1,3-diarylpropanoids"
HILIC-pos_Cluster_0996,Carboximidic acids and derivatives
HILIC-pos_Cluster_0997,Carboximidic acids and derivatives
HILIC-pos_Cluster_1009,Phenols and derivatives
HILIC-pos_Cluster_1029,Phenols
HILIC-pos_Cluster_1044,#N/A
HILIC-pos_Cluster_1127,"Gluco/mineralocorticoids, progestogins and derivatives"
HILIC-pos_Cluster_1129,#N/A
HILIC-pos_Cluster_1138,"Gluco/mineralocorticoids, progestogins and derivatives"
HILIC-pos_Cluster_1198,#N/A
HILIC-pos_Cluster_1265,#N/A
HILIC-pos_Cluster_1386,Salicylic acids
HILIC-pos_Cluster_1400,#N/A
HILIC-pos_Cluster_1507,Stilbene glycosides
HILIC-pos_Cluster_1519,Stigmastanes and derivatives
HILIC-pos_Cluster_1524,Cholesterols and derivatives
HILIC-pos_Cluster_1756,Spirosolanes and derivatives
HILIC-pos_Cluster_1778,Diterpenoids
HILIC-pos_Cluster_1813,#N/A
HILIC-pos_Cluster_1814,#N/A
HILIC-pos_Cluster_1952,Long-chain fatty alcohols
HILIC-pos_Cluster_1953,Sphingolipids
HILIC-pos_Cluster_1989,#N/A
HILIC-pos_Cluster_1995,Sphingolipids
HILIC-pos_Cluster_2128,#N/A
HILIC-pos_Cluster_2211,Phosphatidylethanolamines
HILIC-pos_Cluster_2228,#N/A
HILIC-pos_Cluster_2294,Phosphatidylethanolamines
HILIC-pos_Cluster_2311,Phosphatidylethanolamines
HILIC-pos_Cluster_2313,Phosphatidylethanolamines
HILIC-pos_Cluster_2341,#N/A
HILIC-pos_Cluster_2343,#N/A
HILIC-pos_Cluster_2355,#N/A
HILIC-pos_Cluster_2360,#N/A
HILIC-pos_Cluster_2368,#N/A
C18-neg_Cluster_0041,#N/A
C18-neg_Cluster_0074,Lactones
C18-neg_Cluster_0108,Indoles and derivatives
C18-neg_Cluster_0135,Fatty acids and conjugates
C18-neg_Cluster_0151,#N/A
C18-neg_Cluster_0617,Acylaminobenzoic acid and derivatives
C18-neg_Cluster_0646,#N/A
C18-neg_Cluster_0680,Sulfated steroids
C18-neg_Cluster_0694,#N/A
C18-neg_Cluster_0696,Phenylacetamides
C18-neg_Cluster_0771,Benzoquinolines
C18-neg_Cluster_0877,Long-chain fatty alcohols
C18-neg_Cluster_1098,Benzopyrans
C18-neg_Cluster_1159,#N/A
C18-neg_Cluster_1162,#N/A
C18-neg_Cluster_1176,#N/A
C18-neg_Cluster_1177,#N/A
C18-neg_Cluster_1242,#N/A
C18-neg_Cluster_1261,Triterpenoids
C18-neg_Cluster_1323,#N/A
C18-neg_Cluster_1334,#N/A
C18-neg_Cluster_1343,Dimethoxybenzenes
C18-neg_Cluster_1369,#N/A
C18-neg_Cluster_1370,#N/A
C18-neg_Cluster_1405,#N/A
C18-neg_Cluster_1497,#N/A
C18-neg_Cluster_1502,#N/A
C18-neg_Cluster_1514,#N/A
C18-neg_Cluster_1530,#N/A
C18-neg_Cluster_1535,#N/A
C18-neg_Cluster_1541,#N/A
C18-neg_Cluster_1584,Triterpenoids
C18-neg_Cluster_1600,#N/A
C18-neg_Cluster_1602,#N/A
C18-neg_Cluster_1638,#N/A
C18-neg_Cluster_1685,Cycloartanols and derivatives
C18-neg_Cluster_1700,2-monoacylglycerols
C18-neg_Cluster_1708,Triterpenoids
C18-neg_Cluster_1710,#N/A
C18-neg_Cluster_1787,#N/A
C18-neg_Cluster_1788,#N/A
C18-neg_Cluster_1833,#N/A
C18-neg_Cluster_1901,#N/A
C18-neg_Cluster_1943,Oligopeptides
C18-neg_Cluster_2014,#N/A
C18-neg_Cluster_2048,#N/A
C18-neg_Cluster_2079,#N/A
C18-neg_Cluster_2095,#N/A
C18-neg_Cluster_2135,#N/A
C18-neg_Cluster_2176,#N/A
C8-pos_Cluster_0245,Lactones
C8-pos_Cluster_0431,Benzopyrans
C8-pos_Cluster_0482,Acyclic diterpenoids
C8-pos_Cluster_0633,#N/A
C8-pos_Cluster_0808,#N/A
C8-pos_Cluster_0823,Terpene glycosides
C8-pos_Cluster_1177,#N/A
C8-pos_Cluster_1184,#N/A
C8-pos_Cluster_1278,#N/A
C8-pos_Cluster_1415,#N/A
C8-pos_Cluster_2126,#N/A
HILIC-neg_Cluster_0410,Phenol esters
HILIC-neg_Cluster_0584,P-methoxybenzoic acids and derivatives
HILIC-neg_Cluster_0719,#N/A
HILIC-neg_Cluster_1147,"Amino acids, peptides, and analogues"
HILIC-neg_Cluster_1252,Cinnamic acids and derivatives
HILIC-neg_Cluster_1265,#N/A
HILIC-neg_Cluster_1283,Phenylacetamides
HILIC-neg_Cluster_1529,#N/A
HILIC-neg_Cluster_1534,Triterpenoids
HILIC-neg_Cluster_1542,Triterpenoids
HILIC-neg_Cluster_1591,#N/A
HILIC-neg_Cluster_1793,#N/A
HILIC-neg_Cluster_1821,#N/A
HILIC-neg_Cluster_1835,#N/A
HILIC-pos_Cluster_0027,Unsaturated hydrocarbons
HILIC-pos_Cluster_0118,Pyrroles
HILIC-pos_Cluster_0119,Pyrroles
HILIC-pos_Cluster_0138,Tropane alkaloids
HILIC-pos_Cluster_0165,#N/A
HILIC-pos_Cluster_0207,Dipeptides
HILIC-pos_Cluster_0380,Cyclic olefins
HILIC-pos_Cluster_0396,Benzene and substituted derivatives
HILIC-pos_Cluster_0466,Sesquiterpenoids
HILIC-pos_Cluster_0493,"Alpha-branched alpha,beta-unsaturated ketones"
HILIC-pos_Cluster_0569,Long-chain fatty acids
HILIC-pos_Cluster_0618,Indoles and derivatives
HILIC-pos_Cluster_0639,"Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids"
HILIC-pos_Cluster_0721,#N/A
HILIC-pos_Cluster_1058,Ketones
HILIC-pos_Cluster_1733,#N/A
HILIC-pos_Cluster_1745,O-glycosyl compounds
HILIC-pos_Cluster_1821,#N/A
HILIC-pos_Cluster_1930,Triterpenoids
HILIC-pos_Cluster_1964,#N/A
HILIC-pos_Cluster_2155,Stigmastanes and derivatives
C18-neg_Cluster_0035,#N/A
C18-neg_Cluster_0109,Fatty acid esters
C18-neg_Cluster_0136,Fatty acids and conjugates
C18-neg_Cluster_0197,Fatty acids and conjugates
C18-neg_Cluster_0388,Furanoid lignans
C18-neg_Cluster_0404,Flavonoids
C18-neg_Cluster_0500,Flavonoids
C18-neg_Cluster_0579,"Amino acids, peptides, and analogues"
C18-neg_Cluster_0734,Thienopyridines
C18-neg_Cluster_0738,#N/A
C18-neg_Cluster_0772,Flavonoids
C18-neg_Cluster_0814,Hydroxybenzoic acid derivatives
C18-neg_Cluster_0953,#N/A
C18-neg_Cluster_1278,Hydroxy acids and derivatives
C18-neg_Cluster_1377,#N/A
C18-neg_Cluster_1379,#N/A
C18-neg_Cluster_1392,#N/A
C18-neg_Cluster_1501,#N/A
C18-neg_Cluster_1537,#N/A
C18-neg_Cluster_1873,#N/A
C18-neg_Cluster_1874,#N/A
C18-neg_Cluster_1897,#N/A
C18-neg_Cluster_2107,#N/A
C18-neg_Cluster_2147,#N/A
C18-neg_Cluster_2172,#N/A
C8-pos_Cluster_0148,Acetals
C8-pos_Cluster_0276,#N/A
C8-pos_Cluster_0483,#N/A
C8-pos_Cluster_0780,Oligosaccharides
C8-pos_Cluster_1064,Sphingolipids
C8-pos_Cluster_1266,#N/A
C8-pos_Cluster_1342,#N/A
C8-pos_Cluster_1436,"1-(1Z-alkenyl),2-acyl-glycerophosphates"
C8-pos_Cluster_1643,#N/A
C8-pos_Cluster_1780,Sphingolipids
C8-pos_Cluster_1858,Organic phosphoric acids and derivatives
C8-pos_Cluster_1984,Ubiquinones
C8-pos_Cluster_2055,Sphingolipids
C8-pos_Cluster_2062,"1-alkyl,2-acylglycero-3-phosphocholines"
C8-pos_Cluster_2113,Glycerophosphoethanolamines
C8-pos_Cluster_2118,#N/A
C8-pos_Cluster_2191,#N/A
C8-pos_Cluster_2198,#N/A
C8-pos_Cluster_2261,#N/A
C8-pos_Cluster_2270,#N/A
C8-pos_Cluster_2276,#N/A
C8-pos_Cluster_2299,#N/A
C8-pos_Cluster_2401,#N/A
C8-pos_Cluster_2438,Sphingolipids
HILIC-neg_Cluster_0090,#N/A
HILIC-neg_Cluster_0138,Diazines
HILIC-neg_Cluster_0267,Alpha amino acids and derivatives
HILIC-neg_Cluster_0882,Lineolic acids and derivatives
HILIC-neg_Cluster_1055,Flavonoids
HILIC-neg_Cluster_1592,#N/A
HILIC-neg_Cluster_1643,#N/A
HILIC-neg_Cluster_1842,#N/A
HILIC-pos_Cluster_0077,Alpha amino acids and derivatives
HILIC-pos_Cluster_0122,Azoles
HILIC-pos_Cluster_0123,#N/A
HILIC-pos_Cluster_0457,Phenylpropenes
HILIC-pos_Cluster_0677,#N/A
HILIC-pos_Cluster_0743,#N/A
HILIC-pos_Cluster_1191,Flavonoids
HILIC-pos_Cluster_1196,#N/A
HILIC-pos_Cluster_1246,#N/A
HILIC-pos_Cluster_1258,#N/A
HILIC-pos_Cluster_1437,Acyclic diterpenoids
HILIC-pos_Cluster_1579,#N/A
HILIC-pos_Cluster_1587,Stigmastanes and derivatives
HILIC-pos_Cluster_1648,Triterpenoids
HILIC-pos_Cluster_1658,#N/A
HILIC-pos_Cluster_1659,Triterpenoids
HILIC-pos_Cluster_1664,Stigmastanes and derivatives
HILIC-pos_Cluster_1679,#N/A
HILIC-pos_Cluster_1889,#N/A
C18-neg_Cluster_0103,Lactones
C18-neg_Cluster_0110,Fatty acid esters
C18-neg_Cluster_0141,Peptides
C18-neg_Cluster_0159,#N/A
C18-neg_Cluster_0170,Monoterpenoids
C18-neg_Cluster_0176,Menthane monoterpenoids
C18-neg_Cluster_1466,#N/A
C18-neg_Cluster_1467,#N/A
C18-neg_Cluster_1720,1-(1Z-alkenyl)-glycero-3-phosphocholines
C18-neg_Cluster_1747,Spirosolanes and derivatives
C18-neg_Cluster_1811,#N/A
C18-neg_Cluster_1812,#N/A
C18-neg_Cluster_1860,1-(1Z-alkenyl)-glycero-3-phosphocholines
C18-neg_Cluster_1883,#N/A
C18-neg_Cluster_1884,#N/A
C18-neg_Cluster_1926,#N/A
C18-neg_Cluster_1963,Sphingolipids
C18-neg_Cluster_2133,#N/A
C18-neg_Cluster_2134,#N/A
C8-pos_Cluster_0911,1-(1Z-alkenyl)-glycero-3-phosphocholines
C8-pos_Cluster_0916,#N/A
C8-pos_Cluster_1040,#N/A
C8-pos_Cluster_1090,#N/A
C8-pos_Cluster_1872,Phosphatidylcholines
C8-pos_Cluster_1899,Diterpenoids
C8-pos_Cluster_1994,Phosphatidylserines
C8-pos_Cluster_2163,Phosphatidylinositols
C8-pos_Cluster_2193,#N/A
C8-pos_Cluster_2232,#N/A
C8-pos_Cluster_2237,#N/A
HILIC-neg_Cluster_0147,Hydroxy acids and derivatives
HILIC-neg_Cluster_0569,#N/A
HILIC-neg_Cluster_0625,Fatty acid esters
HILIC-neg_Cluster_0782,Menthane monoterpenoids
HILIC-neg_Cluster_1339,#N/A
HILIC-neg_Cluster_1585,#N/A
HILIC-neg_Cluster_1771,#N/A
HILIC-pos_Cluster_0375,Dipeptides
HILIC-pos_Cluster_0456,Pyrrolidines
HILIC-pos_Cluster_0488,Indoles and derivatives
HILIC-pos_Cluster_0526,Dipeptides
HILIC-pos_Cluster_0533,Beta amino acids and derivatives
HILIC-pos_Cluster_0549,Alpha amino acid amides
HILIC-pos_Cluster_0626,Dipeptides
HILIC-pos_Cluster_0725,Indoles and derivatives
HILIC-pos_Cluster_0803,Hydroxycinnamic acids and derivatives
HILIC-pos_Cluster_0859,Dipeptides
HILIC-pos_Cluster_0910,Benzodiazepines
HILIC-pos_Cluster_0979,Cinnamic acids and derivatives
HILIC-pos_Cluster_1155,#N/A
HILIC-pos_Cluster_1334,#N/A
HILIC-pos_Cluster_1425,Cholesterols and derivatives
HILIC-pos_Cluster_1602,#N/A
HILIC-pos_Cluster_1786,#N/A
HILIC-pos_Cluster_1837,#N/A
HILIC-pos_Cluster_2105,#N/A
HILIC-pos_Cluster_2116,#N/A
HILIC-pos_Cluster_2157,Sphingolipids
HILIC-pos_Cluster_2160,Sphingolipids
HILIC-pos_Cluster_2176,Acyclic diterpenoids
HILIC-pos_Cluster_2204,#N/A
HILIC-pos_Cluster_2214,Sphingolipids
HILIC-pos_Cluster_2357,#N/A
C18-neg_Cluster_1124,1-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_1125,1-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_1127,1-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_1615,#N/A
C18-neg_Cluster_1616,#N/A
C18-neg_Cluster_1940,#N/A
C8-pos_Cluster_0527,#N/A
C8-pos_Cluster_1642,Cholesteryl esters
C8-pos_Cluster_1671,Cholesteryl esters
C8-pos_Cluster_1715,Cholesteryl esters
C8-pos_Cluster_1755,#N/A
C8-pos_Cluster_1764,#N/A
C8-pos_Cluster_2170,Triterpenoids
C8-pos_Cluster_2271,#N/A
HILIC-neg_Cluster_1488,1-acyl-sn-glycero-3-phosphoethanolamines
HILIC-pos_Cluster_0389,Cyclohexenones
HILIC-pos_Cluster_0473,Phenylpropanes
HILIC-pos_Cluster_0479,"Alpha,beta-unsaturated carbonyl compounds"
HILIC-pos_Cluster_0581,#N/A
HILIC-pos_Cluster_0601,#N/A
HILIC-pos_Cluster_0685,N-acyl-alpha amino acids
HILIC-pos_Cluster_1233,Fatty amides
HILIC-pos_Cluster_1606,#N/A
HILIC-pos_Cluster_1643,1-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_0462,Long-chain fatty alcohols
C18-neg_Cluster_0976,#N/A
C18-neg_Cluster_1063,#N/A
C18-neg_Cluster_1335,#N/A
C18-neg_Cluster_1354,#N/A
C18-neg_Cluster_1473,#N/A
C18-neg_Cluster_1870,#N/A
C18-neg_Cluster_1942,#N/A
C18-neg_Cluster_2013,Tetrapyrroles and derivatives
C18-neg_Cluster_2101,#N/A
C18-neg_Cluster_2166,#N/A
C8-pos_Cluster_0180,#N/A
C8-pos_Cluster_0266,#N/A
C8-pos_Cluster_0419,#N/A
C8-pos_Cluster_0420,#N/A
C8-pos_Cluster_1194,Tetrapyrroles and derivatives
C8-pos_Cluster_1343,#N/A
C8-pos_Cluster_1745,Sphingolipids
C8-pos_Cluster_1903,#N/A
C8-pos_Cluster_1963,#N/A
C8-pos_Cluster_2187,#N/A
C8-pos_Cluster_2194,#N/A
C8-pos_Cluster_2252,#N/A
C8-pos_Cluster_2279,#N/A
C8-pos_Cluster_2389,#N/A
C8-pos_Cluster_2400,#N/A
C8-pos_Cluster_2429,#N/A
HILIC-neg_Cluster_1810,Tetrapyrroles and derivatives
HILIC-pos_Cluster_1603,#N/A
HILIC-pos_Cluster_2075,Tetrapyrroles and derivatives
HILIC-pos_Cluster_2083,Tetrapyrroles and derivatives
HILIC-pos_Cluster_2150,Tetrapyrroles and derivatives
HILIC-pos_Cluster_2171,#N/A
HILIC-pos_Cluster_2189,Tetrapyrroles and derivatives
HILIC-pos_Cluster_2317,Sphingolipids
C8-pos_Cluster_0236,Long-chain fatty alcohols
C8-pos_Cluster_0319,Long-chain fatty alcohols
C8-pos_Cluster_0332,Fatty acid esters
C8-pos_Cluster_0364,Cholesteryl esters
C8-pos_Cluster_0406,Glycerol vinyl ethers
C8-pos_Cluster_1045,Peptides
C8-pos_Cluster_1137,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_1428,"1,3-diacylglycerols"
C8-pos_Cluster_2169,Phosphatidylcholines
C8-pos_Cluster_2243,Sphingolipids
C8-pos_Cluster_2321,Sphingolipids
C8-pos_Cluster_2328,Sphingolipids
C8-pos_Cluster_2360,Sphingolipids
C8-pos_Cluster_2363,Sphingolipids
C8-pos_Cluster_2365,Sphingolipids
C8-pos_Cluster_2377,Steroid acids
C8-pos_Cluster_2396,Sphingolipids
C8-pos_Cluster_2399,Sphingolipids
C18-neg_Cluster_0263,#N/A
C18-neg_Cluster_0272,Long-chain fatty alcohols
C18-neg_Cluster_0311,Flavonoids
C18-neg_Cluster_0367,Benzoic acid esters
C18-neg_Cluster_0387,Furanoid lignans
C18-neg_Cluster_0430,#N/A
C18-neg_Cluster_0487,#N/A
C18-neg_Cluster_0507,"Amino acids, peptides, and analogues"
C18-neg_Cluster_0516,"Amino acids, peptides, and analogues"
C18-neg_Cluster_0541,#N/A
C18-neg_Cluster_0556,Guaianolides and derivatives
C18-neg_Cluster_0633,#N/A
C18-neg_Cluster_0634,#N/A
C18-neg_Cluster_0635,#N/A
C18-neg_Cluster_0639,Cinnamic acids and derivatives
C18-neg_Cluster_0688,#N/A
C18-neg_Cluster_0758,#N/A
C18-neg_Cluster_0895,"Amino acids, peptides, and analogues"
C18-neg_Cluster_1145,#N/A
C18-neg_Cluster_1194,#N/A
C18-neg_Cluster_1204,#N/A
C18-neg_Cluster_1264,#N/A
C18-neg_Cluster_1325,#N/A
C18-neg_Cluster_1391,Triterpenoids
C18-neg_Cluster_1410,"Tetrahydroxy bile acids, alcohols and derivatives"
C18-neg_Cluster_1507,"Tetrahydroxy bile acids, alcohols and derivatives"
C18-neg_Cluster_1547,Brassinolides and derivatives
C18-neg_Cluster_1693,#N/A
C18-neg_Cluster_1740,#N/A
C18-neg_Cluster_1786,#N/A
C18-neg_Cluster_1831,#N/A
C18-neg_Cluster_1914,#N/A
C18-neg_Cluster_2034,#N/A
C18-neg_Cluster_2093,#N/A
C8-pos_Cluster_0342,Fatty acid esters
C8-pos_Cluster_0423,Benzoic acids and derivatives
C8-pos_Cluster_0698,Triterpenoids
C8-pos_Cluster_0769,Triterpenoids
C8-pos_Cluster_0770,Triterpenoids
C8-pos_Cluster_0805,Cycloartanols and derivatives
C8-pos_Cluster_0809,Steroid acids
C8-pos_Cluster_0812,#N/A
C8-pos_Cluster_0845,Triterpenoids
C8-pos_Cluster_1379,#N/A
C8-pos_Cluster_1487,#N/A
C8-pos_Cluster_1973,#N/A
C8-pos_Cluster_2016,#N/A
C8-pos_Cluster_2030,Phosphatidylinositols
C8-pos_Cluster_2096,Phosphatidylinositols
HILIC-neg_Cluster_0976,Flavonoids
HILIC-neg_Cluster_1018,Long-chain fatty acids
HILIC-neg_Cluster_1137,Phenols
HILIC-neg_Cluster_1579,#N/A
HILIC-neg_Cluster_1580,#N/A
HILIC-pos_Cluster_1217,#N/A
HILIC-pos_Cluster_1685,#N/A
C18-neg_Cluster_0262,#N/A
C18-neg_Cluster_0360,Xylenes
C18-neg_Cluster_0466,Flavonoids
C18-neg_Cluster_0483,Phenylbenzodioxanes
C18-neg_Cluster_0585,Phenylbenzodioxanes
C18-neg_Cluster_0588,Quinolines and derivatives
C8-pos_Cluster_0197,Fatty acid methyl esters
HILIC-neg_Cluster_0927,#N/A
HILIC-neg_Cluster_1017,Xylenes
HILIC-pos_Cluster_1049,Tropane alkaloids
HILIC-pos_Cluster_1050,Tropane alkaloids
HILIC-pos_Cluster_1740,#N/A
C18-neg_Cluster_0494,Very long-chain fatty acids
C18-neg_Cluster_0584,"Gluco/mineralocorticoids, progestogins and derivatives"
C18-neg_Cluster_0849,Long-chain fatty acids
C18-neg_Cluster_0889,#N/A
C18-neg_Cluster_2072,#N/A
C18-neg_Cluster_2152,#N/A
C8-pos_Cluster_0340,Organonitrogen compounds
HILIC-neg_Cluster_1008,Phenanthrenes and derivatives
HILIC-neg_Cluster_1109,Phenols
C18-neg_Cluster_1441,1-acyl-sn-glycero-3-phosphoethanolamines
C18-neg_Cluster_1810,#N/A
C18-neg_Cluster_1869,#N/A
C18-neg_Cluster_1891,#N/A
C18-neg_Cluster_1925,#N/A
C18-neg_Cluster_2045,#N/A
C18-neg_Cluster_2108,Oligopeptides
C8-pos_Cluster_0900,#N/A
HILIC-neg_Cluster_1798,#N/A
HILIC-pos_Cluster_1863,1-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_2324,Phosphatidylethanolamines
C18-neg_Cluster_0402,#N/A
C18-neg_Cluster_0431,Retinoids
C18-neg_Cluster_0449,Dipeptides
C18-neg_Cluster_0451,Dipeptides
C18-neg_Cluster_0497,Secondary alcohols
C18-neg_Cluster_0498,Secondary alcohols
C18-neg_Cluster_0623,#N/A
C18-neg_Cluster_0710,#N/A
C18-neg_Cluster_0792,Phenolic glycosides
C18-neg_Cluster_2058,#N/A
C18-neg_Cluster_2104,Triterpenoids
HILIC-neg_Cluster_0142,#N/A
HILIC-neg_Cluster_0698,Fatty acid esters
HILIC-neg_Cluster_0770,Fatty acids and conjugates
HILIC-neg_Cluster_0820,#N/A
HILIC-neg_Cluster_0879,Benzoic acid esters
HILIC-neg_Cluster_0960,Quinone and hydroquinone lipids
HILIC-neg_Cluster_0980,#N/A
HILIC-neg_Cluster_1028,Terpene lactones
HILIC-neg_Cluster_1033,Benzenesulfonic acids and derivatives
HILIC-neg_Cluster_1059,Long-chain fatty acids
HILIC-neg_Cluster_1097,Benzenesulfonic acids and derivatives
HILIC-neg_Cluster_1167,#N/A
HILIC-neg_Cluster_1414,#N/A
HILIC-neg_Cluster_1466,N-glucuronides
HILIC-neg_Cluster_1660,#N/A
HILIC-pos_Cluster_0535,Phenylpropenes
HILIC-pos_Cluster_0542,Phenylpropanes
HILIC-pos_Cluster_0552,Phenylpropanes
HILIC-pos_Cluster_0638,"Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids"
HILIC-pos_Cluster_0668,Monoterpenoids
HILIC-pos_Cluster_0718,Fatty acid esters
HILIC-pos_Cluster_0727,Benzene and substituted derivatives
HILIC-pos_Cluster_0753,#N/A
HILIC-pos_Cluster_0775,Dipeptides
HILIC-pos_Cluster_0831,#N/A
HILIC-pos_Cluster_0972,#N/A
HILIC-pos_Cluster_1041,Galanthamine-type amaryllidaceae alkaloids
HILIC-pos_Cluster_1055,Quinolines and derivatives
HILIC-pos_Cluster_1097,#N/A
HILIC-pos_Cluster_1134,#N/A
HILIC-pos_Cluster_1179,#N/A
HILIC-pos_Cluster_1253,#N/A
HILIC-pos_Cluster_1267,#N/A
HILIC-pos_Cluster_1317,#N/A
HILIC-pos_Cluster_1345,#N/A
HILIC-pos_Cluster_1346,#N/A
HILIC-pos_Cluster_1396,#N/A
HILIC-pos_Cluster_1427,#N/A
HILIC-pos_Cluster_1490,#N/A
HILIC-pos_Cluster_1561,Dibenzoxepines
HILIC-pos_Cluster_1668,"Dihydroxy bile acids, alcohols and derivatives"
HILIC-pos_Cluster_1712,"Tetrahydroxy bile acids, alcohols and derivatives"
HILIC-pos_Cluster_1803,Triterpenoids
HILIC-pos_Cluster_1811,Triterpenoids
HILIC-pos_Cluster_1817,Tocopherols
HILIC-pos_Cluster_1856,Triterpenoids
HILIC-pos_Cluster_1954,Cardiolipins
C18-neg_Cluster_1301,"Tetrahydroxy bile acids, alcohols and derivatives"
C18-neg_Cluster_1626,"Tetrahydroxy bile acids, alcohols and derivatives"
C8-pos_Cluster_0130,Fatty acid esters
C8-pos_Cluster_0380,Very long-chain fatty acids
C8-pos_Cluster_0385,Very long-chain fatty acids
C8-pos_Cluster_0388,Alkyl-phenylketones
C8-pos_Cluster_0391,Alkyl-phenylketones
C8-pos_Cluster_0392,Alkyl-phenylketones
C8-pos_Cluster_1361,#N/A
C8-pos_Cluster_1389,#N/A
C8-pos_Cluster_1419,Other hydroxyeicosapolyenoic acids
C8-pos_Cluster_1509,#N/A
C8-pos_Cluster_1608,Acyclic diterpenoids
HILIC-neg_Cluster_1419,Fatty acid esters
HILIC-neg_Cluster_1451,#N/A
HILIC-neg_Cluster_1499,Fatty acid esters
HILIC-neg_Cluster_1620,Brassinolides and derivatives
HILIC-neg_Cluster_1685,Triterpenoids
HILIC-neg_Cluster_1721,#N/A
HILIC-neg_Cluster_1742,#N/A
HILIC-pos_Cluster_1059,#N/A
HILIC-pos_Cluster_1218,#N/A
HILIC-pos_Cluster_1375,Benzopyrans
HILIC-pos_Cluster_1628,#N/A
HILIC-pos_Cluster_1638,#N/A
HILIC-pos_Cluster_1677,#N/A
HILIC-pos_Cluster_1706,"Tetrahydroxy bile acids, alcohols and derivatives"
HILIC-pos_Cluster_1757,#N/A
HILIC-pos_Cluster_1834,2-acyl-sn-glycero-3-phosphocholines
HILIC-pos_Cluster_1870,Monoterpenoids
HILIC-pos_Cluster_1891,#N/A
HILIC-pos_Cluster_1897,2-acyl-sn-glycero-3-phosphocholines
C18-neg_Cluster_0628,Organonitrogen compounds
C18-neg_Cluster_0640,Phosphatidylglycerols
C18-neg_Cluster_0676,Fatty acid esters
C18-neg_Cluster_0692,Fatty acid esters
C18-neg_Cluster_0704,Acyl carnitines
C18-neg_Cluster_0788,#N/A
C18-neg_Cluster_0942,#N/A
C18-neg_Cluster_0963,#N/A
C18-neg_Cluster_1023,#N/A
C18-neg_Cluster_1100,Dipeptides
